Model,Variant,Accuracy,Misclass_Error,Balanced_Accuracy,F1_Macro,AUC_Macro
LDA,raw,0.8627119037128081,0.13728809628719185,0.8596734222219625,0.861109085546067,0.9910439844417742
Logistic Regression,raw,0.9923703068110665,0.007629693188933473,0.9916587454385515,0.9916575321116644,0.9999532202956862
QDA,raw,0.953247837480578,0.04675216251942205,0.9491442439306382,0.9491750384781119,0.9980534149216416
k-NN,raw,0.9693188933466292,0.03068110665337076,0.9692569694099257,0.96966560986345,0.9983761267933364
SVM,raw,0.9899121077897081,0.010087892210291938,0.9894905717169558,0.9897262616930043,0.9999234728139922
Random Forest,raw,0.9843231835996382,0.01567681640036178,0.983005169380872,0.982883971801366,0.9998592379266757
GBDT,raw,0.9608311495559009,0.039168850444099124,0.9630845286361747,0.9634662663912505,0.9991757864030439
LDA,pca10,0.8396604902483709,0.16033950975162914,0.8304194113503969,0.8354485173007198,0.9883070160154155
Logistic Regression,pca10,0.990515062266645,0.009484937733355014,0.9907417136004988,0.9906539831726557,0.99993069254301
QDA,pca10,0.9530623130261358,0.046937686973864245,0.9496707527338044,0.9492032532135906,0.998054607107219
k-NN,pca10,0.9703856589596717,0.02961434104032834,0.9702271831261747,0.9706037715444569,0.9985545313039352
SVM,pca10,0.9887989610630551,0.011201038936944907,0.9886599142075976,0.9889305354471798,0.9999105196208447
GBDT,pca10,0.9725655712993669,0.027434428700633062,0.968441000859423,0.9689403238103531,0.9991750596577145
Random Forest,pca10,0.9773428260012523,0.02265717399874767,0.9738846704775633,0.974074412345235,0.9996705394165061
